,JANE
oh come give,1.0
<eol> quiet night,1.0
ian taking kid,1.0
taking kid ice,1.0
fair make lucy,1.0
move fair make,1.0
kid ice skating,1.0
ice skating school,1.0
skating school </eol>,1.0
school </eol> </eol>,1.0
<eol> <eol> quiet,1.0
oh well,1.0
quiet night bottle,1.0
mess paperwork </eol>,1.0
night bottle wine,1.0
bottle wine dvd,1.0
wine dvd </eol>,1.0
dvd </eol> </eol>,1.0
<eol> suppose idea,1.0
like said,1.0
suppose idea good,1.0
idea good night,1.0
good night involves,1.0
night involves wearing,1.0
<eol> ian taking,1.0
ever mess paperwork,1.0
thing oh come,1.0
desperately love italian,1.0
girl promise marry,1.0
promise marry local,1.0
marry local fisherman,1.0
local fisherman army,1.0
lucy share age,1.0
fisherman army invade,1.0
army invade fall,1.0
invade fall desperately,1.0
fall desperately love,1.0
come round,1.0
love italian captain,1.0
never ever mess,1.0
italian captain realises,1.0
make lucy share,1.0
captain realises never,1.0
realises never love,1.0
<eol> mean liked,1.0
love fisherman </eol>,1.0
fisherman </eol> </eol>,1.0
<eol> ian never,1.0
ian never ever,1.0
age </eol>,1.0
involves wearing shirt,1.0
wearing shirt several,1.0
shirt several size,1.0
cup tea,1.0
value work hard,1.0
work hard </eol>,1.0
<eol> really funny,1.0
really funny christian,1.0
funny christian hilarious,1.0
christian hilarious </eol>,1.0
hilarious </eol> </eol>,1.0
<eol> kid scrabble,1.0
steven move fair,1.0
kid scrabble tournament,1.0
scrabble tournament last,1.0
several size small,1.0
tournament last week,1.0
<eol> really scene,1.0
really scene </eol>,1.0
scene </eol> </eol>,1.0
<eol> could get,1.0
could get used,1.0
get used </eol>,1.0
<eol> really ian,1.0
really ian thing,1.0
ian thing oh,1.0
family value work,1.0
strong family value,1.0
got strong family,1.0
<eol> got strong,1.0
size small sniffing,1.0
small sniffing stuff,1.0
sniffing stuff make,1.0
stuff make brain,1.0
make brain explode,1.0
brain explode </eol>,1.0
yeah well get,1.0
well get older,1.0
get older idea,1.0
older idea fun,1.0
idea fun change,1.0
fun change </eol>,1.0
change </eol> </eol>,1.0
ian got load,1.0
got load good,1.0
load good quality,1.0
good quality kind,1.0
quality kind loyal,1.0
kind loyal safe,1.0
loyal safe </eol>,1.0
safe </eol> </eol>,1.0
mean liked money,1.0
bobby go darlin,1.0
talked </eol> </eol>,1.0
cheese fruit platter,1.0
fish chicken goujon,1.0
u wage employ,1.0
chicken goujon chopped,1.0
goujon chopped vegetable,1.0
save u wage,1.0
alright save u,1.0
<eol> alright save,1.0
chopped vegetable dip,1.0
vegetable dip cheese,1.0
dip cheese fruit,1.0
fruit platter </eol>,1.0
flan said healthy,1.0
platter </eol> </eol>,1.0
<eol> well still,1.0
well still kid,1.0
going get,1.0
marie </eol> </eol>,1.0
still kid really,1.0
kid really ya,1.0
really ya </eol>,1.0
two marie </eol>,1.0
<eol> fruit flan,1.0
greaded fish chicken,1.0
wage employ many,1.0
got greaded fish,1.0
vegetarian got greaded,1.0
sense smell go,1.0
smell go urgh,1.0
plus better job,1.0
go urgh </eol>,1.0
outsider plus better,1.0
many outsider plus,1.0
urgh </eol> </eol>,1.0
<eol> still looking,1.0
employ many outsider,1.0
still looking inspiration,1.0
looking inspiration </eol>,1.0
inspiration </eol> </eol>,1.0
<eol> <eol> outdone,1.0
<eol> outdone think,1.0
outdone think got,1.0
think got mini,1.0
got mini pizza,1.0
mini pizza quiche,1.0
pizza quiche vegetarian,1.0
quiche vegetarian got,1.0
year ago,1.0
fruit flan said,1.0
u two marie,1.0
yeah trying use,1.0
<eol> alright enough,1.0
minute anyway </eol>,1.0
<eol> typical enough,1.0
got load,1.0
typical enough family,1.0
enough family never,1.0
family never right,1.0
never right </eol>,1.0
might well </eol>,1.0
better go ahead,1.0
five minute anyway,1.0
alright enough </eol>,1.0
said healthy </eol>,1.0
look know exactly,1.0
<eol> five minute,1.0
already said </eol>,1.0
know exactly talking,1.0
exactly talking peter,1.0
talking peter first,1.0
peter first massage,1.0
first massage chicken,1.0
massage chicken chasseur,1.0
chicken chasseur idiot,1.0
<eol> know thinking,1.0
know thinking might,1.0
somehow ian </eol>,1.0
